id,year,month,employment_status,job_title,job_years,is_manager,hours_per_week,telecommute_days_per_week,education,is_education_computer_related,certifications,salary
146,2017,1,2,0,3.5961190476190494,0,39.6245833333333,1.0,2,0.0,1,7625.7786060606095
147,2017,12,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
148,2017,12,2,2,4.14079305661659,1,40.5014285714286,0.0,2,0.0,0,7033.8457005772
149,2017,12,2,2,5.0,0,40.0,1.0,1,1.0,0,7166.0
150,2017,1,2,2,10.0,0,42.0,0.0,2,1.0,0,8333.0
151,2018,12,2,6,3.0,0,45.0,1.0,2,0.0,0,4708.0
152,2017,1,2,2,5.0,0,40.0,0.0,2,0.0,0,7166.0
153,2017,1,2,2,4.33048561027325,0,40.9734095118135,0.0,2,0.0,1,7298.82316186425
154,2017,1,0,5,5.0,0,40.0,5.0,3,1.0,1,7166.0
155,2017,1,2,2,4.82728549228549,0,40.9208207070707,5.0,0,0.0,1,7260.6786269286295
156,2017,1,2,1,4.11272897715222,0,40.8092582064971,0.0,2,0.0,0,6967.32449087088
157,2017,12,2,2,4.598758721670491,0,40.1861196524064,2.0,0,0.0,1,6496.7882358752295
158,2018,12,2,1,5.0,1,40.0,1.0,0,0.0,1,7166.0
159,2018,12,2,2,3.9679184617841696,0,41.5335127323657,5.0,3,1.0,1,7724.735176013531
160,2017,1,2,2,4.1911711163395795,0,40.809895582514,0.0,1,1.0,0,6032.160004854661
161,2017,1,2,5,1.0,0,40.0,0.0,1,0.0,1,7166.0
162,2017,1,2,1,6.0,0,40.0,5.0,0,0.0,1,7750.0
163,2017,1,2,1,6.70029678654679,1,41.3685785048285,0.0,3,1.0,1,6923.15833849484
164,2017,12,2,1,2.6456652661064397,1,40.0,0.0,0,0.0,1,5683.26917857143
165,2017,1,2,2,1.0,0,40.0,0.0,3,0.0,0,8333.0
166,2017,12,2,2,5.0,0,40.0,0.0,1,0.0,0,7166.0
167,2017,1,2,1,4.11272897715222,0,40.8092582064971,0.0,2,0.0,0,6967.32449087088
168,2017,12,2,2,5.0,1,40.0,3.0,2,0.0,0,7166.0
169,2017,12,2,2,6.0,0,40.0,0.0,2,1.0,1,10416.0
170,2017,12,2,2,1.0,0,40.0,0.0,2,0.0,0,6666.0
171,2017,1,2,5,5.0,0,44.0,0.0,2,0.0,0,9000.0
172,2017,12,2,1,3.597,1,40.05,5.0,0,0.0,0,7258.70742857143
173,2017,12,2,1,2.92395833333333,0,42.3815410830999,1.0,3,0.0,0,6525.03203968254
174,2017,1,2,2,3.0,0,42.0,0.0,2,0.0,0,6583.0
175,2017,1,2,5,3.7227905748792005,0,39.006095238095206,0.0,0,1.0,1,7729.2328287113205
176,2018,12,2,2,4.8429897046345705,1,40.488096689215105,0.0,2,1.0,0,7044.55072291063
177,2017,1,2,2,5.0,0,40.0,2.0,0,0.0,0,7166.0
178,2017,12,2,2,5.0,1,40.0,5.0,2,1.0,1,7166.0
179,2017,1,2,2,4.09518095238095,1,40.6395714285714,1.0,3,1.0,1,6740.14930952381
180,2017,1,2,2,3.0,0,40.0,0.0,2,1.0,0,4500.0
181,2017,12,2,1,3.0,0,40.0,0.0,3,0.0,1,8083.0
182,2017,12,2,2,2.0,0,40.0,0.0,0,0.0,0,4083.0
183,2017,12,2,2,3.9679184617841696,0,41.5335127323657,5.0,3,1.0,1,7724.735176013531
184,2017,1,2,2,3.9679184617841696,0,41.5335127323657,5.0,3,1.0,1,7724.735176013531
185,2018,12,2,2,3.49217382746,0,41.5034226847194,1.0,2,0.0,0,7760.29556259317
186,2017,1,2,1,4.31026190476191,0,41.6324801587302,3.0,2,0.0,0,7743.42877380953
187,2017,1,0,1,4.0,0,40.0,0.0,2,1.0,1,6083.0
188,2017,1,2,2,1.0,0,40.0,2.0,2,1.0,1,10000.0
189,2017,12,2,1,3.6036150006684102,0,41.2175843456509,0.0,3,0.0,0,6350.5947222001905
190,2017,12,2,2,4.39897442599596,0,40.9390320654104,0.0,2,1.0,0,6929.89287980687
191,2017,1,2,2,3.9575787416884203,0,40.301676911036,0.0,0,0.0,0,6279.98915233786
192,2018,1,2,5,5.0,1,40.0,0.0,0,0.0,1,7797.0
193,2017,12,2,1,4.07064526629927,0,40.8332818137705,0.0,0,0.0,0,6749.64577467426
194,2018,12,2,1,5.0,0,40.0,0.0,2,1.0,0,7166.0
195,2017,1,2,5,5.53284126984127,0,41.7731746031746,2.0,2,1.0,1,6762.5674122806995
196,2017,12,2,2,3.0,1,38.0,0.0,2,1.0,0,8333.0
197,2017,12,2,2,1.0,0,40.0,0.0,2,1.0,1,7083.0
198,2017,1,2,2,2.0,1,45.0,1.0,2,1.0,1,7083.0
199,2017,1,2,2,4.99722354162143,1,40.37841704462829,0.0,3,1.0,1,7366.409174996129
200,2017,1,2,5,5.0,1,40.0,0.0,3,0.0,0,7166.0
201,2017,12,2,4,5.71054761904762,1,40.0018181818182,1.0,0,0.0,0,6436.41978571428
202,2017,1,2,2,5.0,0,40.0,1.0,1,0.0,1,7166.0
203,2017,12,2,1,1.0,1,45.0,0.0,3,1.0,1,7500.0
204,2018,12,2,4,3.61127738931988,0,41.2413524268528,1.0,2,1.0,0,7436.31650806557
205,2017,12,2,2,3.9190357142857097,0,42.829430014429995,3.0,2,0.0,0,7561.092067460319
206,2017,12,2,2,4.9070636832688095,0,40.727005354549604,0.0,0,0.0,1,6600.64001429953
207,2018,12,2,1,4.42461859707574,0,40.8928271372029,1.0,2,0.0,0,7757.601842410942
208,2018,12,2,2,5.0,0,40.0,4.0,2,1.0,0,7166.0
209,2017,1,2,1,4.7707968745634,0,40.8104297959568,0.0,2,1.0,1,6573.34496751579
210,2017,1,2,2,10.0,0,42.0,0.0,1,1.0,1,6250.0
211,2017,12,2,1,4.11272897715222,0,40.8092582064971,0.0,2,0.0,0,6967.32449087088
212,2017,12,2,2,5.0,0,40.0,4.0,1,1.0,1,7166.0
213,2017,1,2,2,3.0,0,40.0,0.0,1,1.0,1,7833.0
214,2017,12,2,4,7.0,1,45.0,0.0,2,0.0,1,10500.0
215,2017,1,2,2,8.0,0,40.0,2.0,2,0.0,1,10000.0
216,2017,12,2,2,5.0,0,40.0,1.0,2,1.0,1,7166.0
217,2017,1,2,2,1.0,0,45.0,0.0,1,1.0,1,8416.0
218,2017,1,2,2,8.0,0,45.0,5.0,2,1.0,1,9166.0
219,2017,1,2,1,10.0,0,42.0,0.0,3,1.0,0,5666.0
220,2018,12,2,1,4.53021967601617,1,42.3697304628169,0.0,2,1.0,1,7637.12788931453
221,2018,12,2,4,6.0,1,44.0,0.0,2,1.0,1,6000.0
222,2017,12,2,2,1.0,0,40.0,2.0,0,1.0,1,8166.0
223,2017,12,2,2,4.97644497756969,0,40.7119648455196,0.0,3,0.0,0,7360.20634324995
224,2018,12,2,2,4.56334920634921,0,39.309992784992794,0.0,0,0.0,1,5975.06684786765
225,2018,12,2,2,10.0,0,40.0,0.0,2,1.0,0,5062.0
226,2017,1,2,2,3.0,1,42.0,5.0,2,1.0,1,5916.0
227,2017,12,2,4,3.82266996496776,1,41.439505098392,0.0,2,1.0,0,7158.63696955947
228,2017,12,2,2,4.04073862302981,0,40.9044485061286,0.0,2,0.0,0,7107.089169939409
229,2017,1,2,5,3.8606043956044,0,40.0280376974676,5.0,2,1.0,0,8471.208765079371
230,2017,1,2,2,4.1911711163395795,0,40.809895582514,0.0,1,1.0,0,6032.160004854661
231,2017,12,2,7,1.0,0,45.0,0.0,3,0.0,0,6833.0
232,2017,1,2,2,2.0,0,40.0,0.0,2,0.0,0,6750.0
233,2017,1,2,2,4.30701587301587,1,40.046704710144894,1.0,2,0.0,0,6152.16555555556
234,2017,1,2,7,1.0,0,45.0,1.0,2,1.0,0,7458.0
235,2017,1,2,2,6.0,0,45.0,0.0,2,1.0,0,7791.0
236,2017,12,2,2,3.4952647352647297,0,41.4305452602953,5.0,3,0.0,1,8560.31499773184
237,2017,12,0,2,2.6081433982683997,0,38.075,5.0,2,0.0,0,8252.72166666667
238,2017,12,2,2,5.0,0,40.0,0.0,0,0.0,1,7166.0
239,2017,1,2,1,4.53021967601617,1,42.3697304628169,0.0,2,1.0,1,7637.12788931453
240,2019,1,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
241,2017,12,2,5,4.88738136059847,1,40.1393036889581,0.0,0,0.0,1,7730.298969298249
242,2017,1,2,1,4.0,0,45.0,0.0,3,0.0,0,7083.0
243,2018,12,2,1,4.7707968745634,0,40.8104297959568,0.0,2,1.0,1,6573.34496751579
244,2017,1,0,5,5.0,1,40.0,5.0,4,1.0,0,7166.0
245,2017,1,2,7,5.0,0,42.0,0.0,2,1.0,0,7666.0
246,2017,1,2,2,5.0,0,42.0,0.0,2,0.0,1,8691.0
247,2017,1,2,2,4.0,0,40.0,0.0,2,1.0,1,8592.0
248,2017,1,2,2,1.0,0,45.0,0.0,2,0.0,1,9000.0
249,2017,12,2,4,5.0,1,40.0,1.0,1,0.0,1,7166.0
250,2017,1,2,1,7.0,0,40.0,0.0,2,1.0,0,6416.0
251,2017,12,2,1,5.0,0,40.0,1.0,2,0.0,0,7166.0
252,2018,12,2,2,3.0,0,37.0,0.0,3,1.0,1,9000.0
253,2017,12,2,6,6.0,0,38.0,1.0,2,1.0,0,8538.0
254,2017,12,2,1,5.0,0,40.0,1.0,3,1.0,0,7166.0
255,2017,1,2,7,2.53032936507936,0,40.8457467532468,5.0,2,0.0,0,9326.100674242422
256,2017,12,2,6,2.0,0,40.0,0.0,1,0.0,0,5750.0
257,2018,12,2,2,5.5699359333477,0,40.982294446051,5.0,0,0.0,0,7566.72323150706
258,2017,12,2,2,3.0,0,40.0,5.0,2,1.0,0,8102.0
259,2017,12,2,2,2.13180029315559,0,38.9872766343826,0.0,0,1.0,1,8147.52324983119
260,2017,1,2,5,4.93333333333333,1,40.04,2.0,2,0.0,1,7174.06666666667
261,2017,1,2,1,5.0,0,40.0,0.0,0,0.0,1,6166.0
262,2017,1,0,1,5.0,0,40.0,0.0,2,1.0,0,7166.0
263,2017,1,2,5,4.66335761460761,1,40.162291666666704,1.0,2,1.0,0,7213.122190476191
264,2017,12,2,1,3.4071563051657003,0,41.405996926477606,0.0,2,0.0,1,6525.94355483067
265,2017,12,2,2,1.0,0,40.0,0.0,2,1.0,1,5833.0
266,2017,1,2,2,10.0,0,40.0,0.0,3,1.0,0,9083.0
267,2017,12,2,1,5.0,0,40.0,0.0,0,0.0,0,7166.0
268,2017,1,2,2,4.41168406561813,1,40.5354070228622,0.0,0,1.0,0,5908.35505803431
269,2017,12,2,4,5.02133333333333,1,40.05,5.0,2,1.0,1,7172.66666666667
270,2017,12,2,2,4.90397208246607,0,40.4600916414693,5.0,2,1.0,0,8071.46592040938
271,2017,1,2,2,4.14672601405319,0,40.96771598007,0.0,3,1.0,0,7054.6438534377
272,2017,12,2,2,5.0,1,38.0,0.0,2,1.0,0,8666.0
273,2017,12,2,2,8.0,1,40.0,1.0,2,0.0,1,7333.0
274,2017,1,2,5,5.0,1,40.0,0.0,3,0.0,0,7166.0
275,2017,12,2,1,2.0,1,41.0,0.0,1,0.0,1,4541.0
276,2017,1,2,2,1.0,0,45.0,0.0,2,1.0,1,6000.0
277,2017,12,2,2,1.0,0,40.0,0.0,1,0.0,1,7916.0
278,2017,1,2,2,1.0,0,40.0,1.0,2,1.0,1,10000.0
279,2017,1,2,2,5.0,1,40.0,0.0,0,0.0,0,7166.0
280,2018,1,2,2,4.6150413211557595,0,40.810169591180895,1.0,2,1.0,1,7342.12456054052
281,2017,1,0,1,3.0,0,40.0,5.0,2,1.0,0,5666.0
282,2018,12,2,1,6.0,0,40.0,5.0,2,0.0,1,9583.0
283,2017,1,2,9,2.0,0,45.0,5.0,2,0.0,0,5083.0
284,2017,1,2,2,4.4783951490631795,0,40.3792591376114,2.0,2,1.0,1,7887.355291386909
285,2017,12,2,1,4.45645192422728,0,40.8940884054592,0.0,2,1.0,0,6564.939162516
286,2017,12,2,1,5.0,0,40.0,0.0,2,0.0,0,7166.0
287,2017,1,2,2,3.0,0,45.0,0.0,2,0.0,1,7000.0
288,2017,12,2,6,5.0,0,40.0,0.0,1,0.0,0,6833.0
289,2017,1,2,2,9.0,0,40.0,0.0,2,1.0,1,5122.0
290,2017,1,2,2,1.0,0,40.0,0.0,2,1.0,0,5250.0
291,2017,12,2,2,3.0,1,40.0,1.0,2,0.0,0,3666.0
292,2017,1,2,1,4.11272897715222,0,40.8092582064971,0.0,2,0.0,0,6967.32449087088
293,2018,1,2,2,4.759545405854039,0,40.807492261917204,0.0,3,0.0,1,7041.14458433487
294,2017,12,2,1,3.0,0,40.0,0.0,0,0.0,1,5750.0
295,2017,1,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
296,2017,1,2,2,4.64083006561005,0,41.114137565130896,0.0,2,1.0,1,7052.09183260453
297,2017,1,2,7,1.0,0,45.0,0.0,3,1.0,1,6833.0
298,2017,1,2,2,4.0,0,40.0,5.0,2,1.0,1,8416.0
299,2017,1,2,2,10.0,0,40.0,0.0,0,0.0,0,7500.0
300,2017,12,2,2,5.0,1,40.0,5.0,2,1.0,1,7166.0
301,2018,1,2,1,4.7707968745634,0,40.8104297959568,0.0,2,1.0,1,6573.34496751579
302,2017,1,2,4,4.92,1,39.98,0.0,0,0.0,1,7165.50545454545
303,2017,12,1,1,5.0,0,40.0,5.0,0,0.0,1,7166.0
304,2017,12,2,5,10.0,0,45.0,0.0,2,1.0,1,8166.0
305,2017,1,2,5,6.76269047619048,0,41.2818253968254,2.0,3,0.0,1,8172.3335
306,2017,12,2,2,4.37436384787159,1,39.315994668756105,0.0,0,1.0,1,6823.111067476861
307,2017,12,2,2,5.10358453416377,0,41.130448574327296,5.0,2,1.0,1,7636.39359304152
308,2017,12,2,5,2.0,1,45.0,4.0,2,1.0,0,10416.0
309,2017,12,2,5,5.396968253968249,0,39.438547619047604,1.0,2,1.0,1,7597.81434920635
310,2017,1,2,2,4.461640755047309,0,40.152488846653206,1.0,0,0.0,0,7471.898268169721
311,2017,12,2,1,5.42141985791986,1,39.7441544011544,0.0,2,0.0,0,6875.2404979742505
312,2017,12,2,2,5.0,0,45.0,0.0,2,0.0,1,8166.0
313,2017,12,2,2,4.43545833333333,1,38.78125937950939,0.0,1,0.0,1,7695.7840238095205
314,2017,1,2,2,5.0,1,40.0,1.0,2,0.0,1,7166.0
315,2017,12,2,5,4.88738136059847,1,40.1393036889581,0.0,0,0.0,1,7730.298969298249
316,2017,12,2,2,4.0,0,40.0,1.0,3,1.0,0,9166.0
317,2017,12,2,1,0.0,0,40.0,0.0,2,1.0,0,3750.0
318,2017,1,2,1,4.0,0,40.0,0.0,2,1.0,0,4816.0
319,2017,12,2,2,9.0,0,40.0,0.0,0,0.0,1,7916.0
320,2017,1,2,0,5.0,1,40.0,1.0,1,1.0,1,7166.0
321,2017,1,2,5,5.0,0,45.0,0.0,2,1.0,1,8333.0
322,2018,12,2,2,1.0,0,40.0,1.0,1,1.0,0,6250.0
323,2017,12,2,2,1.0,1,40.0,1.0,2,1.0,1,9416.0
324,2017,12,2,2,3.9575787416884203,0,40.301676911036,0.0,0,0.0,0,6279.98915233786
325,2017,12,2,5,4.0111580907482605,0,41.5584475248864,0.0,2,1.0,1,7388.43297900402
326,2017,1,2,0,2.2515357142857098,0,38.5578650793651,1.0,2,1.0,0,5137.12176190476
327,2017,12,2,2,1.0,0,38.0,0.0,2,1.0,1,8775.0
328,2017,12,2,6,2.0,0,45.0,0.0,2,0.0,0,5916.0
329,2017,1,2,2,5.0,0,45.0,0.0,3,1.0,1,4583.0
330,2017,1,2,1,5.0,0,40.0,0.0,2,1.0,1,7166.0
